10 occurs 6 times
20 occurs 16 times
30 occurs 18 times
40 occurs 10 times
50 occurs 14 times
60 occurs 12 times
70 occurs 22 times
80 occurs 15 times
90 occurs 29 times
100 occurs 97 times
110 occurs 310 times
120 occurs 3626 times
130 occurs 27528 times
140 occurs 47212 times
150 occurs 21695 times
160 occurs 3222 times
170 occurs 262 times
180 occurs 65 times
190 occurs 43 times
200 occurs 30 times
210 occurs 16 times
220 occurs 9 times
230 occurs 3 times
240 occurs 7 times
250 occurs 1 times
260 occurs 4 times
270 occurs 4 times
280 occurs 8 times
290 occurs 6 times
300 occurs 6 times
320 occurs 1 times
340 occurs 2 times
350 occurs 6 times
360 occurs 2 times
370 occurs 1 times
380 occurs 3 times
390 occurs 4 times
400 occurs 2 times
410 occurs 4 times
420 occurs 3 times
440 occurs 2 times
450 occurs 2 times
470 occurs 2 times
480 occurs 4 times
490 occurs 4 times
500 occurs 2 times
510 occurs 2 times
530 occurs 2 times
540 occurs 3 times
560 occurs 1 times
620 occurs 1 times
700 occurs 1 times
800 occurs 1 times
3730 occurs 1 times
4160 occurs 1 times
5270 occurs 1 times
6330 occurs 1 times
8270 occurs 1 times
8660 occurs 1 times
8680 occurs 1 times
